Ref,Val,Package,PosX,PosY,Rot,Side
"PCB1","PCB","PCB_PN_REV_Small",54.000000,-72.500000,-90.000000,bottom
"D1","LED_RGB","LED_RGB_5050-6",28.000000,-59.000000,-90.000000,top
"D2","LED_RGB","LED_RGB_5050-6",28.000000,-73.000000,-90.000000,top
"D3","LED_RGB","LED_RGB_5050-6",40.000000,-81.285713,-90.000000,top
"D4","LED_RGB","LED_RGB_5050-6",28.000000,-87.000000,-90.000000,top
"D5","LED_RGB","LED_RGB_5050-6",28.000000,-101.000000,-90.000000,top
"D6","LED_RGB","LED_RGB_5050-6",28.000000,-115.000000,-90.000000,top
"D7","LED_RGB","LED_RGB_5050-6",40.000000,-47.000000,-90.000000,top
"D8","LED_RGB","LED_RGB_5050-6",40.000000,-58.428571,-90.000000,top
"D9","LED_RGB","LED_RGB_5050-6",40.000000,-69.857142,-90.000000,top
"D10","LED_RGB","LED_RGB_5050-6",40.000000,-104.142855,-90.000000,top
"D11","LED_RGB","LED_RGB_5050-6",40.000000,-115.571426,-90.000000,top
"D12","LED_RGB","LED_RGB_5050-6",40.000000,-127.000000,-90.000000,top
"D13","40V 1A","D_SOD-323",47.950000,-111.062500,90.000000,top
"D14","LED_RGB","LED_RGB_5050-6",52.000000,-59.000000,-90.000000,top
"D15","LED_RGB","LED_RGB_5050-6",52.000000,-73.000000,-90.000000,top
"D16","LED_RGB","LED_RGB_5050-6",52.000000,-87.000000,-90.000000,top
"D17","LED_RGB","LED_RGB_5050-6",40.000000,-92.714284,-90.000000,top
"D18","LED_RGB","LED_RGB_5050-6",52.000000,-101.000000,-90.000000,top
"D19","LED_RGB","LED_RGB_5050-6",52.000000,-115.000000,-90.000000,top
"GRAPHIC1","Graphic","BirdWithPants_Small_Right",33.750000,-94.000000,90.000000,top
"J1","Conn_01x02","Pad_01x02_Edge_Pair",46.000000,-48.000000,-45.000000,top
"J2","Conn_01x02","Pad_01x02_Edge_Pair",46.000000,-126.000000,45.000000,top
"J3","Conn_01x02","Pad_01x02_Edge_Pair",34.000000,-48.000000,-135.000000,top
"J4","Conn_01x02","Pad_01x02_Edge_Pair",34.000000,-126.000000,135.000000,top
"Q3","25V 1.5A","SOT-23",45.000000,-109.500000,-90.000000,top
"R1","10k","R_0805_2012Metric",45.000000,-106.500000,180.000000,top
"R2","1.3k","R_0805_2012Metric",48.000000,-107.500000,-90.000000,top
"R3","3.9R 0805 1/10W","R_0805_2012Metric",32.000000,-116.500000,90.000000,top
"R4","3.9R 0805 1/10W","R_0805_2012Metric",44.000000,-116.500000,90.000000,top
"R5","3.9R 0805 1/10W","R_0805_2012Metric",48.000000,-116.500000,90.000000,top
