Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
PCB1,PCB,PCB_PN_REV_Small,54,-72.5,-90,bottom
D1,LED_RGB,LED_RGB_5050-6,28,-59,-90,top
D2,LED_RGB,LED_RGB_5050-6,28,-73,-90,top
D3,LED_RGB,LED_RGB_5050-6,40,-81.285713,-90,top
D4,LED_RGB,LED_RGB_5050-6,28,-87,-90,top
D5,LED_RGB,LED_RGB_5050-6,28,-101,-90,top
D6,LED_RGB,LED_RGB_5050-6,28,-115,-90,top
D7,LED_RGB,LED_RGB_5050-6,40,-47,-90,top
D8,LED_RGB,LED_RGB_5050-6,40,-58.428571,-90,top
D9,LED_RGB,LED_RGB_5050-6,40,-69.857142,-90,top
D10,LED_RGB,LED_RGB_5050-6,40,-104.142855,-90,top
D11,LED_RGB,LED_RGB_5050-6,40,-115.571426,-90,top
D12,LED_RGB,LED_RGB_5050-6,40,-127,-90,top
D13,40V 1A,D_SOD-323,47.95,-111.0625,90,top
D14,LED_RGB,LED_RGB_5050-6,52,-59,-90,top
D15,LED_RGB,LED_RGB_5050-6,52,-73,-90,top
D16,LED_RGB,LED_RGB_5050-6,52,-87,-90,top
D17,LED_RGB,LED_RGB_5050-6,40,-92.714284,-90,top
D18,LED_RGB,LED_RGB_5050-6,52,-101,-90,top
D19,LED_RGB,LED_RGB_5050-6,52,-115,-90,top
GRAPHIC1,Graphic,BirdWithPants_Small_Right,33.75,-94,90,top
J1,Conn_01x02,Pad_01x02_Edge_Pair,46,-48,-45,top
J2,Conn_01x02,Pad_01x02_Edge_Pair,46,-126,45,top
J3,Conn_01x02,Pad_01x02_Edge_Pair,34,-48,-135,top
J4,Conn_01x02,Pad_01x02_Edge_Pair,34,-126,135,top
Q3,25V 1.5A,SOT-23,45,-109.5,-90,top
R1,10k,R_0805_2012Metric,45,-106.5,180,top
R2,1.3k,R_0805_2012Metric,48,-107.5,-90,top
R3,3.9R 0805 1/10W,R_0805_2012Metric,32,-116.5,90,top
R4,3.9R 0805 1/10W,R_0805_2012Metric,44,-116.5,90,top
R5,3.9R 0805 1/10W,R_0805_2012Metric,48,-116.5,90,top
