Ref,Val,Package,PosX,PosY,Rot,Side
"PCB1","PCB","PCB_PN_REV",95.550000,-89.850000,-90.000000,bottom
"C1","0.1uF","C_0805_2012Metric",54.459999,-85.000000,180.000000,top
"C2","0.1uF","C_0805_2012Metric",54.500000,-101.500000,180.000000,top
"C3","680uF 25V","CP_Radial_D10.0mm_P5.00mm",62.695000,-78.842444,-90.000000,top
"C4","220uF 25V","CP_Radial_D6.3mm_P2.50mm",80.695000,-69.454999,90.000000,top
"C5","DNP","C_0805_2012Metric",70.500000,-69.000000,90.000000,top
"D1","40V 3A","D_SMA",53.000000,-78.000000,180.000000,top
"D2","40V 3A","D_SMA",73.695001,-67.454998,90.000000,top
"GRAPHIC1","Graphic","BirdWithPants_Small_Right",94.000000,-127.500000,90.000000,top
"J1","0.1" Pin Header 02x08","PinHeader_2x08_P2.54mm_Horizontal",37.000000,-122.000000,180.000000,top
"J2","0.1" Pin Header 02x08","PinHeader_2x08_P2.54mm_Horizontal",37.000000,-97.780000,180.000000,top
"J3","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",36.000000,-66.920000,-90.000000,top
"J4","0.1" Pin Header 01x03","PinHeader_1x03_P2.54mm_Horizontal",34.500000,-134.080000,180.000000,top
"J5","Conn_01x04","TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",94.000000,-78.500000,90.000000,top
"L1","47uH 3A","L_SunItechTech_SLO1040H470MTT",76.695000,-77.454999,0.000000,top
"R1","10k","R_0805_2012Metric",59.412500,-112.500000,0.000000,top
"R2","10k","R_0805_2012Metric",59.500000,-109.500000,0.000000,top
"R3","10k","R_0805_2012Metric",59.500000,-107.500000,180.000000,top
"R4","30k 1%","R_0805_2012Metric",68.500000,-69.000000,90.000000,top
"R5","10k 1%","R_0805_2012Metric",69.695000,-65.455000,90.000000,top
"U1","Pico_H","RPi_Pico_TH_Socket",76.890000,-112.110000,180.000000,top
"U2","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",53.000001,-108.500000,0.000000,top
"U3","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",52.935000,-92.000000,0.000000,top
"U5","LM2596S-ADJ","TO-263-5_TabPin3",56.820000,-69.455000,180.000000,top
